"Місцевий час в Києві / Жулянах (аеропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"RRR";"tR";"E";"Tg";"E'";"sss";"AD"
"23.08.2022 00:00";"21.9";"746";"760.5";"-0.1";"60";"Штиль, безвітря";"0";"";"";"20–30%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"22.08.2022 21:00";"24";"746.1";"760.5";"0.7";"50";"Вітер, що дме зі сходу-північного сходу";"1";"";"";"10%  або менше, але не 0";" ";"";"";"";"29.7";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"10%  або менше, але не 0";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"22.08.2022 18:00";"27.8";"745.4";"759.6";"0.2";"37";"Вітер, що дме зі сходу-північного сходу";"2";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"22.08.2022 15:00";"29";"745.2";"759.3";"0";"36";"Вітер, що дме зі сходу";"2";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"22.08.2022 12:00";"25.2";"745.2";"759.5";"-0.3";"43";"Вітер, що дме з півночі-північного сходу";"3";"";"";"10%  або менше, але не 0";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"10%  або менше, але не 0";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"22.08.2022 09:00";"19.6";"745.5";"760.1";"0.7";"69";"Вітер, що дме зі сходу-північного сходу";"1";"";"";"70 – 80%.";" ";"";"";"17.3";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"70 – 80%.";"2500 або більше, або хмар немає.";"Клоччя (часто сочевицевидні) високо-купчастих прозорих, безперервно змінюючих; розташовані на одному або більше рівнях.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"22.08.2022 06:00";"17.4";"744.8";"759.5";"0.3";"84";"Штиль, безвітря";"0";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"22.08.2022 03:00";"19.1";"744.5";"759.1";"-0.2";"82";"Штиль, безвітря";"0";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"22.08.2022 00:00";"21.1";"744.7";"759.1";"0";"74";"Штиль, безвітря";"0";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"21.08.2022 21:00";"23.4";"744.7";"759.1";"0.4";"62";"Вітер, що дме зі сходу-північного сходу";"2";"";"";"хмар немає";" ";"";"";"";"28.4";"";"";"";"";"";"20";"";"";"";"";"";"";""
"21.08.2022 18:00";"27.3";"744.3";"758.5";"0";"48";"Вітер, що дме зі сходу";"3";"";"";"40%.";" ";"";"";"";"";"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.";"10%  або менше, але не 0";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"21.08.2022 15:00";"27.7";"744.3";"758.5";"-0.4";"47";"Вітер, що дме з південного сходу";"2";"";"";"10%  або менше, але не 0";" ";"";"";"";"";"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.";"10%  або менше, але не 0";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"21.08.2022 12:00";"24.7";"744.7";"759.1";"-0.4";"60";"Вітер, що дме зі сходу";"1";"";"";"10%  або менше, але не 0";" ";"";"";"";"";"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.";"10%  або менше, але не 0";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"21.08.2022 09:00";"19.7";"745.1";"759.7";"0.3";"79";"Вітер, що дме з південного сходу";"1";"";"";"20–30%.";" ";"";"";"17.4";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"Сліди опадів";"12";"";"";"";"";""
"21.08.2022 06:00";"17.9";"744.8";"759.4";"0";"91";"Штиль, безвітря";"0";"";"";"90  або більше, але не 100 %";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"70 – 80%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";"10";"";"";"";"";"";"";""
